tx_name	gene_id
ENSCAFT00000000001	ENSCAFG00000000001
ENSCAFT00000000003	ENSCAFG00000000002
ENSCAFT00000000006	ENSCAFG00000000005
ENSCAFT00000000007	ENSCAFG00000000006
ENSCAFT00000000008	ENSCAFG00000000007
ENSCAFT00000000009	ENSCAFG00000000008
ENSCAFT00000000011	ENSCAFG00000000009
ENSCAFT00000000012	ENSCAFG00000000010
ENSCAFT00000000013	ENSCAFG00000000011
ENSCAFT00000036234	ENSCAFG00000000011
ENSCAFT00000046825	ENSCAFG00000000012
ENSCAFT00000000014	ENSCAFG00000000012
ENSCAFT00000042968	ENSCAFG00000000012
ENSCAFT00000000017	ENSCAFG00000000013
ENSCAFT00000000021	ENSCAFG00000000014
ENSCAFT00000000022	ENSCAFG00000000015
ENSCAFT00000000025	ENSCAFG00000000016
ENSCAFT00000000024	ENSCAFG00000000016
ENSCAFT00000000028	ENSCAFG00000000017
ENSCAFT00000000033	ENSCAFG00000000019
ENSCAFT00000047374	ENSCAFG00000000019
ENSCAFT00000036397	ENSCAFG00000000020
ENSCAFT00000000035	ENSCAFG00000000021
ENSCAFT00000000037	ENSCAFG00000000022
ENSCAFT00000000039	ENSCAFG00000000024
ENSCAFT00000000043	ENSCAFG00000000025
ENSCAFT00000000044	ENSCAFG00000000026
ENSCAFT00000000045	ENSCAFG00000000027
ENSCAFT00000000046	ENSCAFG00000000028
ENSCAFT00000000047	ENSCAFG00000000029
ENSCAFT00000049738	ENSCAFG00000000029
ENSCAFT00000000048	ENSCAFG00000000030
ENSCAFT00000000049	ENSCAFG00000000031
ENSCAFT00000000050	ENSCAFG00000000032
ENSCAFT00000000051	ENSCAFG00000000033
ENSCAFT00000000052	ENSCAFG00000000034
ENSCAFT00000000053	ENSCAFG00000000035
ENSCAFT00000000054	ENSCAFG00000000036
ENSCAFT00000000055	ENSCAFG00000000037
ENSCAFT00000047983	ENSCAFG00000000038
ENSCAFT00000000056	ENSCAFG00000000038
ENSCAFT00000036237	ENSCAFG00000000039
ENSCAFT00000000060	ENSCAFG00000000040
ENSCAFT00000000061	ENSCAFG00000000041
ENSCAFT00000000062	ENSCAFG00000000042
ENSCAFT00000000063	ENSCAFG00000000043
ENSCAFT00000000065	ENSCAFG00000000044
ENSCAFT00000000064	ENSCAFG00000000045
ENSCAFT00000000067	ENSCAFG00000000047
ENSCAFT00000000068	ENSCAFG00000000048
ENSCAFT00000000070	ENSCAFG00000000049
ENSCAFT00000000071	ENSCAFG00000000051
ENSCAFT00000000075	ENSCAFG00000000052
ENSCAFT00000000073	ENSCAFG00000000054
ENSCAFT00000000076	ENSCAFG00000000056
ENSCAFT00000000078	ENSCAFG00000000058
ENSCAFT00000000083	ENSCAFG00000000059
ENSCAFT00000000090	ENSCAFG00000000060
ENSCAFT00000000089	ENSCAFG00000000060
ENSCAFT00000000098	ENSCAFG00000000061
ENSCAFT00000000107	ENSCAFG00000000062
ENSCAFT00000000100	ENSCAFG00000000063
ENSCAFT00000000112	ENSCAFG00000000064
ENSCAFT00000000114	ENSCAFG00000000065
ENSCAFT00000048026	ENSCAFG00000000065
ENSCAFT00000000116	ENSCAFG00000000066
ENSCAFT00000000117	ENSCAFG00000000067
ENSCAFT00000046240	ENSCAFG00000000068
ENSCAFT00000000118	ENSCAFG00000000068
ENSCAFT00000000121	ENSCAFG00000000069
ENSCAFT00000000123	ENSCAFG00000000070
ENSCAFT00000000124	ENSCAFG00000000071
ENSCAFT00000000125	ENSCAFG00000000072
ENSCAFT00000000126	ENSCAFG00000000073
ENSCAFT00000000127	ENSCAFG00000000074
ENSCAFT00000000128	ENSCAFG00000000075
ENSCAFT00000049213	ENSCAFG00000000075
ENSCAFT00000000129	ENSCAFG00000000076
ENSCAFT00000000131	ENSCAFG00000000078
ENSCAFT00000000134	ENSCAFG00000000079
ENSCAFT00000000132	ENSCAFG00000000080
ENSCAFT00000000136	ENSCAFG00000000081
ENSCAFT00000000140	ENSCAFG00000000082
ENSCAFT00000046346	ENSCAFG00000000083
ENSCAFT00000000137	ENSCAFG00000000083
ENSCAFT00000000141	ENSCAFG00000000086
ENSCAFT00000000142	ENSCAFG00000000087
ENSCAFT00000000143	ENSCAFG00000000088
ENSCAFT00000000144	ENSCAFG00000000089
ENSCAFT00000000145	ENSCAFG00000000090
ENSCAFT00000000149	ENSCAFG00000000093
ENSCAFT00000000153	ENSCAFG00000000094
ENSCAFT00000000154	ENSCAFG00000000096
ENSCAFT00000000159	ENSCAFG00000000097
ENSCAFT00000000155	ENSCAFG00000000098
ENSCAFT00000000157	ENSCAFG00000000099
ENSCAFT00000000158	ENSCAFG00000000100
ENSCAFT00000000160	ENSCAFG00000000101
ENSCAFT00000000163	ENSCAFG00000000102
ENSCAFT00000000162	ENSCAFG00000000103
ENSCAFT00000000165	ENSCAFG00000000104
ENSCAFT00000000166	ENSCAFG00000000105
ENSCAFT00000047112	ENSCAFG00000000105
ENSCAFT00000000168	ENSCAFG00000000106
ENSCAFT00000000169	ENSCAFG00000000107
ENSCAFT00000000170	ENSCAFG00000000108
ENSCAFT00000045762	ENSCAFG00000000108
ENSCAFT00000000173	ENSCAFG00000000109
ENSCAFT00000000176	ENSCAFG00000000110
ENSCAFT00000000183	ENSCAFG00000000111
ENSCAFT00000000184	ENSCAFG00000000112
ENSCAFT00000049074	ENSCAFG00000000112
ENSCAFT00000000185	ENSCAFG00000000113
ENSCAFT00000000188	ENSCAFG00000000115
ENSCAFT00000000200	ENSCAFG00000000116
ENSCAFT00000045031	ENSCAFG00000000116
ENSCAFT00000000190	ENSCAFG00000000118
ENSCAFT00000000197	ENSCAFG00000000119
ENSCAFT00000047857	ENSCAFG00000000119
ENSCAFT00000000198	ENSCAFG00000000120
ENSCAFT00000000201	ENSCAFG00000000121
ENSCAFT00000000202	ENSCAFG00000000122
ENSCAFT00000000203	ENSCAFG00000000123
ENSCAFT00000045728	ENSCAFG00000000124
